Transaction Number,Date,Description ,Memo,Category,Transaction Amount,Balance,Temp 1
101606,06/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$209,377.40",Recurring
32244,06/18/2018,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,"-$15,020.32","$194,357.08",Occaisional
32234,06/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$193,458.76",Recurring
32233,06/21/2018,DEBIT PURCHASE,Dry Wetsuite,Clothing & Personal ,"-$8,952.45","$184,506.31",Occaisional
32235,06/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$172,140.36",Recurring
32236,06/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$166,779.04",Recurring
32239,06/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$158,119.56",Recurring
32238,06/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$155,612.57",Recurring
32241,06/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$153,307.36",Recurring
32240,06/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$139,277.11",Recurring
32243,06/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$136,310.76",Recurring
32237,06/27/2018,DEBIT PURCHASE,Masa,Food & Dining,"-$3,256.30","$133,054.46",Occaisional
32247,07/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$30,039.11",Recurring
32246,07/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38",-$217.27,Recurring
32248,07/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","-$11,375.14",Recurring
32249,07/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","-$13,927.40",Recurring
32250,07/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","-$39,290.27",Recurring
32254,07/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","-$41,531.39",Recurring
32253,07/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$9,025.66","-$50,557.05",Recurring
32251,07/05/2018,DEBIT PURCHASE,Victorinox 1TB Swiss Army Knife,Shopping,"-$3,102.23","-$53,659.28",Occaisional
101541,07/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$36,505.93","-$17,153.35",Recurring
32256,07/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$3,152.25","-$20,305.60",Recurring
32258,07/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","-$21,657.62",Recurring
32257,07/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","-$31,983.25",Recurring
101579,07/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$38,016.75",Recurring
32252,07/08/2018,DEBIT PURCHASE,Bubba Gump Shrimp Co.,Food & Dining,"-$1,138.69","$36,878.06",Occaisional
32259,07/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$26,377.54",Recurring
5102,07/09/2018,BALANCE TRANSER ,Emergency Account,Transfer,"$50,000.00","$76,377.54",Occaisional
32272,07/10/2018,DEBIT PURCHASE,Oasis Cafe,Food & Dining,-$987.65,"$75,389.89",Occaisional
32267,07/11/2018,DEBIT PURCHASE,Sur un Arbre Perche,Food & Dining,"-$1,356.88","$74,033.01",Occaisional
32260,07/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$67,496.76",Recurring
32262,07/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$67,493.51",Occaisional
32264,07/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$60,993.51",Recurring
32265,07/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$25,026.35","$35,967.16",Recurring
101557,07/15/2018,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$733,582.26","$769,549.42",Recurring
32266,07/16/2018,DEBIT PURCHASE,Flame thrower lessons,Entertainment,-$899.31,"$768,650.11",Occaisional
101607,07/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$818,650.11",Recurring
32279,07/20/2018,DEBIT PURCHASE,3d Facial Treatment,Health & Fitness,"-$18,356.65","$800,293.46",Occaisional
32269,07/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$799,395.14",Recurring
32268,07/21/2018,DEBIT PURCHASE,Kentuck Derby Hat,Clothing & Personal ,-$637.21,"$798,757.93",Occaisional
32270,07/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$786,391.98",Recurring
32271,07/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$781,030.66",Recurring
5103,07/23/2018,PAYMENT/TRANSFER DEBIT,Overdraft Charge,Fees & Charges,"-$10,000.00","$771,030.66",Occaisional
32274,07/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$762,371.18",Recurring
32273,07/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$759,864.19",Recurring
32255,07/24/2018,DEBIT PURCHASE,Dog Snuggies,Pets,-$200.05,"$759,664.14",Occaisional
32276,07/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$757,358.93",Recurring
32275,07/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$743,328.68",Recurring
32278,07/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$740,362.33",Recurring
32280,07/27/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$739,959.83",Occaisional
32263,07/27/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$12.37,"$739,947.46",Occaisional
32277,07/28/2018,DEBIT PURCHASE,My Fair Lady,Entertainment,"-$25,006.35","$714,941.11",Occaisional
32261,07/28/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$714,538.11",Occaisional
32286,08/01/2018,DEBIT PURCHASE,Boxx Suitcase Scooter,Shopping,"-$4,321.23","$710,216.88",Occaisional
32282,08/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$607,201.53",Recurring
32281,08/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$576,945.15",Recurring
32283,08/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$565,787.28",Recurring
32284,08/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$563,235.02",Recurring
32285,08/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$537,872.15",Recurring
32289,08/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$535,631.03",Recurring
32288,08/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$12,875.85","$522,755.18",Recurring
101542,08/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$38,596.02","$561,351.20",Recurring
32291,08/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$3,152.25","$558,198.95",Recurring
32293,08/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$556,846.93",Recurring
32292,08/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$546,521.30",Recurring
101580,08/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$616,521.30",Recurring
32294,08/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$606,020.78",Recurring
32290,08/09/2018,DEBIT PURCHASE,Puppy Tweets Twitter Account,Pets,-$360.99,"$605,659.79",Occaisional
32298,08/10/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$302.85,"$605,356.94",Occaisional
32307,08/11/2018,DEBIT PURCHASE,Oasis Surf,Food & Dining,-$321.35,"$605,035.59",Occaisional
32295,08/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$598,499.34",Recurring
32297,08/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$598,496.09",Occaisional
32299,08/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$591,996.09",Recurring
32302,08/15/2018,DEBIT PURCHASE,El Diablo “The Devil”,Food & Dining,-$868.39,"$591,127.70",Occaisional
32300,08/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$25,026.35","$566,101.35",Recurring
32296,08/15/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$565,698.35",Occaisional
32301,08/16/2018,DEBIT PURCHASE,Buggati Rental,Entertainment,"-$6,234.77","$559,463.58",Occaisional
101608,08/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$609,463.58",Recurring
32304,08/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$608,565.26",Recurring
32303,08/21/2018,DEBIT PURCHASE,Casual Tuxedo,Clothing & Personal ,"-$25,023.62","$583,541.64",Occaisional
32314,08/22/2018,DEBIT PURCHASE,"30,000 mile blood replacement",Health & Fitness,"-$60,356.85","$523,184.79",Occaisional
32305,08/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$510,818.84",Recurring
32306,08/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$505,457.52",Recurring
32287,08/23/2018,DEBIT PURCHASE,"Guy Savoy, Paris (Groupon) ",Food & Dining,-$658.98,"$504,798.54",Occaisional
32309,08/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$496,139.06",Recurring
32308,08/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$493,632.07",Recurring
32311,08/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$491,326.86",Recurring
32310,08/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$477,296.61",Recurring
32313,08/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$474,330.26",Recurring
32321,08/29/2018,DEBIT PURCHASE,Stax SR-009 Earspeakers,Shopping,"-$5,032.86","$469,297.40",Occaisional
32317,09/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$366,282.05",Recurring
32316,09/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$336,025.67",Recurring
32315,09/01/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$335,623.17",Occaisional
32318,09/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$324,465.30",Recurring
32319,09/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$321,913.04",Recurring
32342,09/04/2018,DEBIT PURCHASE,The Pointe Restaurant,Food & Dining,-$658.98,"$321,254.06",Occaisional
32320,09/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$295,891.19",Recurring
32349,09/05/2018,DEBIT PURCHASE,Radioactive Insect Bite Treatment,Health & Fitness,"-$8,253.65","$287,637.54",Occaisional
32324,09/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$285,396.42",Recurring
32323,09/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$23,367.99","$262,028.43",Recurring
101543,09/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$40,686.11","$302,714.54",Recurring
32326,09/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$3,152.25","$299,562.29",Recurring
32325,09/06/2018,DEBIT PURCHASE,Sexy Beast Dog Perfume,Pets,-$205.35,"$299,356.94",Occaisional
32328,09/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$298,004.92",Recurring
32327,09/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$287,679.29",Recurring
101581,09/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$357,679.29",Recurring
32329,09/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$347,178.77",Recurring
32330,09/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$340,642.52",Recurring
32332,09/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$340,639.27",Occaisional
32331,09/13/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$340,236.27",Occaisional
32334,09/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$333,736.27",Recurring
32347,09/15/2018,DEBIT PURCHASE,"One Direction, Private Show",Entertainment,"-$25,006.35","$308,729.92",Occaisional
32335,09/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$25,026.35","$283,703.57",Recurring
32336,09/16/2018,DEBIT PURCHASE,Italian Grand Prix Pit Pass,Entertainment,"-$1,258.33","$282,445.24",Occaisional
101609,09/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$332,445.24",Recurring
32337,09/18/2018,DEBIT PURCHASE,De Kas—Amsterdam,Food & Dining,-$922.32,"$331,522.92",Occaisional
32339,09/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$330,624.60",Recurring
32338,09/21/2018,DEBIT PURCHASE,Formal TShirts,Clothing & Personal ,-$765.00,"$329,859.60",Occaisional
32333,09/21/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$270.35,"$329,589.25",Occaisional
32340,09/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$317,223.30",Recurring
32341,09/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$311,861.98",Recurring
32344,09/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$303,202.50",Recurring
32343,09/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$300,695.51",Recurring
32346,09/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$298,390.30",Recurring
32345,09/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$284,360.05",Recurring
32348,09/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$281,393.70",Recurring
32322,09/26/2018,DEBIT PURCHASE,Casa Bonita,Food & Dining,"-$1,385.35","$280,008.35",Occaisional
32350,09/29/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$279,605.85",Occaisional
32352,10/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$176,590.50",Recurring
32351,10/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$146,334.12",Recurring
32353,10/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$135,176.25",Recurring
32360,10/03/2018,DEBIT PURCHASE,Bubbletastic Bacon Bubble Blower,Pets,-$128.32,"$135,047.93",Occaisional
32354,10/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$132,495.67",Recurring
32355,10/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$107,132.80",Recurring
32359,10/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$104,891.68",Recurring
32358,10/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$9,357.56","$95,534.12",Recurring
101544,10/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$42,776.20","$138,310.32",Recurring
32361,10/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$4,185.21","$134,125.11",Recurring
32363,10/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$132,773.09",Recurring
32362,10/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$122,447.46",Recurring
101582,10/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$192,447.46",Recurring
32364,10/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$181,946.94",Recurring
32357,10/09/2018,DEBIT PURCHASE,Tommy Guns Garage,Food & Dining,-$425.68,"$181,521.26",Occaisional
32366,10/12/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$181,118.26",Occaisional
32365,10/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$174,582.01",Recurring
32367,10/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$174,578.76",Occaisional
32369,10/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$168,078.76",Recurring
32382,10/15/2018,DEBIT PURCHASE,The Ferryman ,Entertainment,"-$25,006.35","$143,072.41",Occaisional
32370,10/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$25,026.35","$118,046.06",Recurring
101558,10/15/2018,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$631,752.51","$749,798.57",Recurring
32384,10/16/2018,DEBIT PURCHASE,Space Dog Walking,Health & Fitness,"-$35,652.38","$714,146.19",Occaisional
32371,10/16/2018,DEBIT PURCHASE,Singapore Submarine Rental,Entertainment,"-$5,638.22","$708,507.97",Occaisional
101610,10/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$758,507.97",Recurring
32377,10/18/2018,DEBIT PURCHASE,The Sweatshop,Food & Dining,"-$1,854.60","$756,653.37",Occaisional
32374,10/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$755,755.05",Recurring
32373,10/21/2018,DEBIT PURCHASE,Racing Socks Set,Clothing & Personal ,-$325.99,"$755,429.06",Occaisional
32375,10/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$743,063.11",Recurring
32376,10/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$737,701.79",Recurring
32379,10/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$729,042.31",Recurring
32378,10/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$726,535.32",Recurring
32381,10/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$724,230.11",Recurring
32380,10/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$710,199.86",Recurring
32383,10/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$707,233.51",Recurring
32368,10/26/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$175.65,"$707,057.86",Occaisional
32387,11/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$604,042.51",Recurring
32386,11/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$573,786.13",Recurring
32385,11/1/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$573,383.63",Occaisional
32407,11/2/2018,DEBIT PURCHASE,Cat Café Nekorobi,Food & Dining,"-$6,589.50","$566,794.13",Occaisional
32388,11/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$555,636.26",Recurring
32389,11/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$553,084.00",Recurring
32390,11/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$527,721.13",Recurring
32394,11/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$525,480.01",Recurring
32393,11/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$15,333.87","$510,146.14",Recurring
101545,11/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$36,521.36","$546,667.50",Recurring
32396,11/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$4,185.21","$542,482.29",Recurring
32398,11/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$541,130.27",Recurring
32397,11/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$530,804.64",Recurring
101583,11/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$600,804.64",Recurring
32392,11/08/2018,DEBIT PURCHASE,Jekyll & Hyde Club,Food & Dining,-$758.36,"$600,046.28",Occaisional
32391,11/08/2018,DEBIT PURCHASE,Kohler Numi Toilet System,Shopping,"-$7,202.32","$592,843.96",Occaisional
32417,11/9/2018,DEBIT PURCHASE,"Cats, Private Show",Entertainment,"-$32,562.32","$560,281.64",Occaisional
32399,11/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$549,781.12",Recurring
32400,11/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$10,362.88","$539,418.24",Recurring
32420,11/13/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$539,015.74",Occaisional
32412,11/13/2018,DEBIT PURCHASE,The Catacombs,Food & Dining,-$284.63,"$538,731.11",Occaisional
32402,11/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$538,727.86",Occaisional
32404,11/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$532,227.86",Recurring
32401,11/14/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$531,824.86",Occaisional
32419,11/15/2018,DEBIT PURCHASE,Dance of the MoleMen lessons,Health & Fitness,"-$3,205.57","$528,619.29",Occaisional
32405,11/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$25,026.35","$503,592.94",Recurring
32406,11/16/2018,DEBIT PURCHASE,Blimp rental for Monaco Grand Prix,Entertainment,"-$15,333.56","$488,259.38",Occaisional
101611,11/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$538,259.38",Recurring
32409,11/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$537,361.06",Recurring
32408,11/21/2018,DEBIT PURCHASE,Designer Underwear,Clothing & Personal ,-$136.22,"$537,224.84",Occaisional
32410,11/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$524,858.89",Recurring
32411,11/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$519,497.57",Recurring
32403,11/23/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$65.78,"$519,431.79",Occaisional
32414,11/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$510,772.31",Recurring
32413,11/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$508,265.32",Recurring
32416,11/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$505,960.11",Recurring
32415,11/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$491,929.86",Recurring
32418,11/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$488,963.51",Recurring
32395,11/26/2018,DEBIT PURCHASE,Pet High Chair,Pets,-$859.35,"$488,104.16",Occaisional
32422,12/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$385,088.81",Recurring
32421,12/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$354,832.43",Recurring
32423,12/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$343,674.56",Recurring
32424,12/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$341,122.30",Recurring
32425,12/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$315,759.43",Recurring
32436,12/5/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$315,356.43",Occaisional
32429,12/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$313,115.31",Recurring
32428,12/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$20,965.36","$292,149.95",Recurring
101546,12/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$30,266.52","$322,416.47",Recurring
32431,12/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$4,185.21","$318,231.26",Recurring
32427,12/06/2018,DEBIT PURCHASE,The Ledge at Skydeck,Food & Dining,-$896.35,"$317,334.91",Occaisional
32433,12/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$315,982.89",Recurring
32432,12/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$305,657.26",Recurring
